idcaja_cierre#fecha_creado#creado_por#fecha_inicio#fecha_fin#estado#fk_idusuario#maquina
1#2023-01-18 11:05:19.4#PROGRAMADOR ADMIN#2023-01-17 12:35:47#2023-01-18 11:04:37#CERRADO#1#PC2
2#2023-01-18 14:02:02.903#JUAN#2023-01-18 11:07:05#2023-01-18 14:01:15#CERRADO#10#PC2
3#2023-01-18 21:53:34.912#LUCY#2023-01-18 14:03:43#2023-01-18 21:52:51#CERRADO#11#PC2
4#2023-01-19 05:55:58.316#CARLOS#2023-01-18 21:54:59#2023-01-19 05:13:27#CERRADO#12#PC2
5#2023-01-19 13:58:42.632#JUAN#2023-01-19 05:59:04#2023-01-19 13:14:48#CERRADO#10#PC2
6#2023-01-19 21:54:12.75#LUCY#2023-01-19 14:00:02#2023-01-19 21:51:49#CERRADO#11#PC2
7#2023-01-20 06:04:17.811#CARLOS#2023-01-19 21:55:44#2023-01-20 02:25:49#CERRADO#12#PC2
8#2023-01-20 13:47:23.254#JUAN#2023-01-20 06:19:25#2023-01-20 12:14:36#CERRADO#10#PC2
9#2023-01-20 21:54:27.738#LUCY#2023-01-20 13:48:19#2023-01-20 21:41:44#CERRADO#11#PC2
10#2023-01-21 05:59:48.271#CARLOS#2023-01-20 21:56:22#2023-01-21 05:59:22#CERRADO#12#PC2
11#2023-01-21 13:58:48.906#JUAN#2023-01-21 06:02:19#2023-01-21 13:55:48#CERRADO#10#PC2
12#2023-01-21 21:54:51.018#LUCY#2023-01-21 14:03:08#2023-01-21 21:45:35#CERRADO#11#PC2
13#2023-01-22 06:02:59.349#CARLOS#2023-01-21 21:56:13#2023-01-22 05:49:59#CERRADO#12#PC2
14#2023-01-22 13:55:18.888#LUCY#2023-01-22 06:06:43#2023-01-22 13:25:41#CERRADO#11#PC2
15#2023-01-22 21:59:33.327#CARLOS#2023-01-22 13:56:01#2023-01-22 21:57:41#CERRADO#12#PC2
16#2023-01-23 06:02:22.477#JUAN#2023-01-22 22:02:07#2023-01-23 06:00:30#CERRADO#10#PC2
17#2023-01-23 13:55:32.347#LUCY#2023-01-23 06:05:21#2023-01-23 13:31:36#CERRADO#11#PC2
18#2023-01-23 21:56:38.433#CARLOS#2023-01-23 13:56:21#2023-01-23 21:52:44#CERRADO#12#PC2
19#2023-01-24 05:56:58.509#JUAN#2023-01-23 21:58:19#2023-01-24 05:52:51#CERRADO#10#PC2
20#2023-01-24 13:52:00.906#LUCY#2023-01-24 06:07:00#2023-01-24 12:20:41#CERRADO#11#PC2
21#2023-01-24 21:55:23.896#CARLOS#2023-01-24 13:52:44#2023-01-24 21:54:42#CERRADO#12#PC2
22#2023-01-25 06:06:04.849#JUAN#2023-01-24 21:58:38#2023-01-25 06:05:10#CERRADO#10#PC2
23#2023-01-25 13:53:53.588#LUCY#2023-01-25 06:06:57#2023-01-25 13:45:01#CERRADO#11#PC2
24#2023-01-25 22:03:10.603#CARLOS#2023-01-25 13:54:43#2023-01-25 21:54:50#CERRADO#12#PC2
25#2023-01-26 05:54:13.002#JUAN#2023-01-25 22:04:26#2023-01-26 05:43:20#CERRADO#10#PC2
26#2023-01-26 13:57:41.656#LUCY#2023-01-26 05:55:00#2023-01-26 13:53:59#CERRADO#11#PC2
27#2023-01-26 21:56:30.727#CARLOS#2023-01-26 13:58:21#2023-01-26 21:29:53#CERRADO#12#PC2
28#2023-01-27 06:00:41.741#JUAN#2023-01-26 21:58:04#2023-01-27 05:37:34#CERRADO#10#PC2
29#2023-01-27 13:56:22.883#LUCY#2023-01-27 06:04:47#2023-01-27 13:07:17#CERRADO#11#PC2
30#2023-01-27 22:01:16.475#CARLOS#2023-01-27 13:57:28#2023-01-27 21:57:15#CERRADO#12#PC2
31#2023-01-28 05:59:58.966#JUAN#2023-01-27 22:02:30#2023-01-28 05:54:06#CERRADO#10#PC2
32#2023-01-28 13:56:58.426#LUCY#2023-01-28 06:05:34#2023-01-28 13:44:50#CERRADO#11#PC2
33#2023-01-28 21:57:47.279#CARLOS#2023-01-28 13:57:40#2023-01-28 21:51:41#CERRADO#12#PC2
34#2023-01-29 05:57:52.132#JUAN#2023-01-28 21:58:59#2023-01-29 05:54:10#CERRADO#10#PC2
35#2023-01-29 17:53:26.443#LUCY#2023-01-29 06:02:22#2023-01-29 17:53:05#CERRADO#11#PC2
36#2023-01-30 06:09:32.918#CARLOS#2023-01-29 17:55:40#2023-01-30 05:47:42#CERRADO#12#PC2
37#2023-01-30 14:04:40.394#LUCY#2023-01-30 06:11:46#2023-01-30 14:04:30#CERRADO#11#PC2
38#2023-01-30 21:59:56.111#JUAN#2023-01-30 14:05:33#2023-01-30 21:55:06#CERRADO#10#PC2
39#2023-01-31 06:07:01.572#CARLOS#2023-01-30 22:00:58#2023-01-31 01:28:32#CERRADO#12#PC2
40#2023-01-31 14:00:00.237#LUCY#2023-01-31 06:08:44#2023-01-31 13:59:45#CERRADO#11#PC2
41#2023-01-31 21:59:39.766#JUAN#2023-01-31 14:02:11#2023-01-31 21:59:26#CERRADO#10#PC2
42#2023-02-01 05:49:31.38#CARLOS#2023-01-31 22:00:41#2023-02-01 04:34:44#CERRADO#12#PC2
43#2023-02-01 13:56:29.736#LUCY#2023-02-01 06:03:02#2023-02-01 13:49:15#CERRADO#11#PC2
44#2023-02-01 21:56:25.318#JUAN#2023-02-01 13:58:03#2023-02-01 21:52:52#CERRADO#10#PC2
45#2023-02-02 05:58:50.619#CARLOS#2023-02-01 21:57:24#2023-02-02 05:14:24#CERRADO#12#PC2
46#2023-02-02 13:59:26.497#LUCY#2023-02-02 06:02:11#2023-02-02 13:57:00#CERRADO#11#PC2
47#2023-02-02 22:07:58.221#JUAN#2023-02-02 14:00:22#2023-02-02 22:06:28#CERRADO#10#PC2
48#2023-02-03 06:00:19.298#CARLOS#2023-02-02 22:09:02#2023-02-03 05:19:49#CERRADO#12#PC2
49#2023-02-03 14:08:47.68#LUCY#2023-02-03 06:01:16#2023-02-03 13:46:42#CERRADO#11#PC2
50#2023-02-03 21:55:28.557#JUAN#2023-02-03 14:09:24#2023-02-03 21:55:22#CERRADO#10#PC2
51#2023-02-04 06:02:47.735#CARLOS#2023-02-03 21:57:44#2023-02-04 05:40:22#CERRADO#12#PC2
52#2023-02-04 14:00:47.906#LUCY#2023-02-04 06:04:32#2023-02-04 13:51:22#CERRADO#11#PC2
53#2023-02-04 21:54:07.645#JUAN#2023-02-04 14:02:10#2023-02-04 21:50:04#CERRADO#10#PC2
54#2023-02-05 06:11:43.27#CARLOS#2023-02-04 21:55:31#2023-02-05 06:05:27#CERRADO#12#PC2
55#2023-02-05 14:06:49.01#CARLOS#2023-02-05 06:13:48#2023-02-05 12:49:11#CERRADO#12#PC2
56#2023-02-05 21:56:26.917#LUCY#2023-02-05 14:16:26#2023-02-05 21:56:08#CERRADO#11#PC2
57#2023-02-06 05:54:35.215#JUAN#2023-02-05 21:58:15#2023-02-06 05:41:39#CERRADO#10#PC2
