idcaja_cierre_item#fecha_creado#creado_por#fk_idcaja_cierre#fk_idcaja_cierre_detalle#maquina
6360#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#1#PC2
6361#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#2#PC2
6362#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#3#PC2
6363#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#4#PC2
6364#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#5#PC2
6365#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#6#PC2
6366#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#7#PC2
6367#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#8#PC2
6368#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#9#PC2
6369#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#10#PC2
6370#2023-01-18 14:02:04.573645#JUAN#2#12#PC2
6371#2023-01-18 14:02:04.573645#JUAN#2#13#PC2
6372#2023-01-18 14:02:04.573645#JUAN#2#14#PC2
6373#2023-01-18 14:02:04.573645#JUAN#2#15#PC2
6374#2023-01-18 14:02:04.573645#JUAN#2#16#PC2
6375#2023-01-18 14:02:04.573645#JUAN#2#17#PC2
6376#2023-01-18 14:02:04.573645#JUAN#2#18#PC2
6377#2023-01-18 14:02:04.573645#JUAN#2#19#PC2
6378#2023-01-18 14:02:04.573645#JUAN#2#20#PC2
6379#2023-01-18 14:02:04.573645#JUAN#2#21#PC2
6380#2023-01-18 14:02:04.573645#JUAN#2#22#PC2
6381#2023-01-18 21:53:37.137477#LUCY#3#23#PC2
6382#2023-01-18 21:53:37.137477#LUCY#3#24#PC2
6383#2023-01-18 21:53:37.137477#LUCY#3#25#PC2
6384#2023-01-18 21:53:37.137477#LUCY#3#26#PC2
6385#2023-01-18 21:53:37.137477#LUCY#3#27#PC2
6386#2023-01-18 21:53:37.137477#LUCY#3#28#PC2
6387#2023-01-18 21:53:37.137477#LUCY#3#29#PC2
6388#2023-01-18 21:53:37.137477#LUCY#3#30#PC2
6389#2023-01-18 21:53:37.137477#LUCY#3#31#PC2
6390#2023-01-18 21:53:37.137477#LUCY#3#32#PC2
6391#2023-01-18 21:53:37.137477#LUCY#3#33#PC2
6392#2023-01-18 21:53:37.137477#LUCY#3#34#PC2
6393#2023-01-18 21:53:37.137477#LUCY#3#35#PC2
6394#2023-01-18 21:53:37.137477#LUCY#3#36#PC2
6395#2023-01-18 21:53:37.137477#LUCY#3#37#PC2
6396#2023-01-18 21:53:37.137477#LUCY#3#38#PC2
6397#2023-01-18 21:53:37.137477#LUCY#3#39#PC2
6398#2023-01-18 21:53:37.137477#LUCY#3#40#PC2
